,term,weight
0,##tin,1.61
1,##lvis,1.16
2,aden,1.56
3,##cre,1.57
4,##less,1.86
5,##tory,1.19
6,##ct,1.19
7,pit,1.48
8,##ren,1.77
9,examination,1.13
10,cavity,1.64
11,declining,1.13
12,##ol,0.69
13,vs,1.0
14,isolation,1.38
15,cancer,0.88
16,lower,0.97
17,2002,0.61
18,##sta,1.45
19,##eter,1.5
20,isolated,1.86
21,##sto,1.22
22,chemotherapy,1.61
23,het,1.46
24,p,0.94
25,history,1.07
26,renal,1.57
27,irregular,1.16
28,had,1.01
29,free,1.98
30,##oda,1.88
31,99,1.77
32,right,1.09
33,above,1.29
34,old,1.47
35,##pa,1.18
36,##yx,1.25
37,##mour,1.48
38,aug,1.14
39,suite,1.24
40,practiced,1.12
41,child,1.13
42,last,0.95
43,dose,0.95
44,consultation,1.59
45,gen,1.03
46,package,1.81
47,##tur,1.91
48,##0,1.57
49,renal,1.8
50,gaps,0.98
51,radio,1.09
52,##ini,1.28
53,exam,0.98
54,53,0.81
55,mg,0.65
56,left,2.03
57,irregular,1.38
58,bone,1.3
59,meta,1.26
60,cm,1.1
61,functions,0.98
62,/,0.71
63,ha,1.44
64,post,1.08
65,exploration,1.63
66,renal,2.0
67,##ical,1.35
68,meta,1.66
69,probe,1.1
70,normal,1.5
71,cancer,0.99
72,98,1.21
73,refusal,1.32
74,stomach,1.18
75,##ogen,1.27
76,performed,1.04
77,##fur,2.0
78,size,1.09
79,pt,2.04
80,successive,0.97
81,cu,1.32
82,packages,1.28
83,polar,1.84
84,##ia,1.01
85,##tory,1.29
86,ur,1.36
87,episodes,0.97
88,vascular,1.0
89,drop,0.68
90,##ification,1.34
91,##graphy,1.23
92,early,0.91
93,functions,0.94
94,##ema,1.79
95,##ema,1.54
96,found,1.11
97,hem,1.35
98,cross,0.87
99,ex,1.27
100,##ital,1.59
101,##gen,1.03
102,hypothesis,1.49
103,##ech,1.41
104,abdominal,1.29
105,renal,1.65
106,##icia,1.58
107,date,0.7
108,functioning,0.69
109,apr,0.61
110,##logical,1.07
111,height,1.0
112,deteriorating,0.94
113,biological,1.0
114,##eth,1.2
115,n,1.19
116,ha,1.06
117,##bla,1.18
118,hi,2.05
119,intra,1.24
120,kidney,0.99
121,scan,1.46
122,##tin,1.07
123,refused,0.98
124,clear,1.77
125,ultrasound,1.14
126,never,1.01
127,test,0.63
128,op,0.9
129,syndrome,0.94
130,##ring,1.4
131,classified,1.59
132,follow,1.72
133,deterioration,0.9
134,pe,1.19
135,masses,1.12
136,deteriorated,1.69
137,##ular,1.24
138,para,1.84
139,##fer,1.12
