,term,weight
0,replacement,0.75
1,partial,1.12
2,ce,1.71
3,##ona,1.45
4,episode,0.98
5,sub,1.32
6,under,1.07
7,on,0.78
8,##xi,1.43
9,##cut,1.17
10,scanner,1.42
11,surgery,1.06
12,treatment,0.94
13,##da,0.99
14,solid,1.04
15,swollen,1.14
16,##ta,0.97
17,##ox,1.28
18,##llin,1.18
19,importance,0.75
20,dose,1.02
21,sin,1.75
22,symptoms,0.54
23,negative,1.01
24,figure,0.7
25,course,1.63
26,fill,1.46
27,surgical,1.09
28,acid,1.22
29,##cin,1.13
30,scan,1.63
31,##ta,0.95
32,##g,1.17
33,close,0.86
34,##zo,1.59
35,solids,1.66
36,size,0.9
37,period,0.85
38,nose,0.91
39,history,1.3
40,ba,1.43
41,##ysis,1.44
42,##me,0.89
43,jett,2.62
44,##rence,1.33
45,inc,1.21
46,face,1.27
47,##cter,1.14
48,point,0.62
49,consultation,1.32
50,surgical,0.75
51,bilateral,1.99
52,long,0.78
53,##ac,0.92
54,swelling,1.25
55,examination,1.0
56,collection,1.53
57,brain,1.43
58,ap,0.99
59,centimeters,1.11
60,change,1.57
61,had,0.91
62,##sin,1.85
63,##hoe,1.35
64,scan,1.1
65,time,0.79
66,##rence,1.3
67,open,0.51
68,heal,0.8
69,relay,2.25
70,hospital,0.97
71,rhino,1.96
72,##p,1.07
73,##esthesia,1.69
74,ana,1.54
75,no,0.96
76,collections,1.02
77,nasal,1.65
78,am,1.03
79,trauma,1.22
80,cm,1.48
81,mri,0.84
82,##eral,1.87
83,##my,1.13
84,dressing,2.31
85,##av,1.31
86,procedure,0.67
87,drug,0.91
88,maxi,1.68
89,frontal,2.51
90,pottery,2.22
91,parent,1.32
92,##us,0.85
93,triple,1.79
94,sampling,1.83
95,decline,1.59
96,##py,1.34
97,antibiotics,1.17
98,rhino,2.15
99,end,1.15
100,syndrome,1.27
101,##uro,0.88
102,##rr,1.31
103,patients,0.66
104,##llo,0.95
105,f,1.1
106,##zo,1.66
107,probe,0.66
108,following,0.73
109,years,0.99
110,had,0.53
111,##rr,1.55
112,nasal,1.79
113,##ten,1.52
114,left,1.4
115,dress,1.32
116,cr,0.79
117,##yt,1.48
118,##hoe,1.2
119,facial,1.52
120,##lent,1.63
121,he,1.33
122,##ur,0.84
123,inflammatory,1.68
124,dose,0.76
125,urgency,1.9
126,based,0.92
127,frontal,1.91
128,gen,1.51
129,##ur,0.83
130,intense,1.44
131,clothing,1.03
132,consult,0.89
133,wound,0.83
134,##tic,1.11
135,swollen,1.35
136,puff,2.29
137,syndrome,1.14
138,sample,1.72
139,##aneous,1.36
140,metro,1.85
141,patient,1.25
142,##os,1.06
143,tumor,1.52
144,##te,1.02
145,specific,1.04
146,favor,0.82
147,##oma,0.82
148,wall,1.15
149,puff,1.97
150,drug,1.06
151,patient,1.24
152,##ological,1.27
153,##co,1.18
154,fill,1.15
155,tumor,1.26
156,hospital,0.55
157,##xi,1.36
158,##cut,1.35
159,##fa,1.01
160,##logical,1.16
161,biological,1.61
162,patient,0.93
163,##cial,1.15
164,traumatic,0.96
165,favour,1.24
166,recurring,0.64
167,##off,1.12
168,##biotic,1.39
169,rapid,1.27
170,closed,1.3
171,19,0.93
172,pan,1.51
173,days,0.76
174,filling,1.19
175,metro,1.98
176,suffered,0.93
177,##y,1.17
178,os,1.34
179,headache,1.81
180,obstruction,1.57
181,object,2.02
182,pan,1.5
183,tumors,1.11
184,##aneous,1.48
185,walls,0.78
186,therapy,1.34
187,everyday,0.55
188,cerebral,1.71
189,parent,1.55
190,##ogical,1.12
191,age,1.15
192,anterior,1.79
193,repeat,0.56
194,surgery,1.37
195,placed,1.17
196,long,1.52
197,clay,1.46
198,slight,1.65
199,hyper,1.55
200,therapy,1.32
201,weeks,0.77
202,sent,1.33
203,ce,1.75
204,general,1.46
205,years,1.04
206,separate,0.95
207,nose,1.04
208,end,1.46
209,scanner,2.02
210,##ula,1.08
211,antibiotics,1.14
212,posterior,0.82
213,evolution,1.33
214,ceramic,1.15
215,physiological,1.52
216,##ision,1.73
217,daily,1.25
218,triple,1.99
219,years,1.02
220,double,1.31
221,serum,1.59
222,anti,1.08
223,inflammation,1.01
224,flat,2.18
225,biological,1.95
226,biological,1.2
227,associated,1.18
228,##yre,2.49
229,filling,1.31
230,##uk,1.07
231,##biotic,1.5
232,##ni,0.97
233,frontal,2.04
234,height,0.89
235,##fo,1.66
236,jacques,2.73
237,inflammation,0.94
238,requested,1.28
239,##tam,1.21
240,swelling,1.57
241,follow,1.43
242,mig,1.48
243,##ol,1.16
244,associated,1.41
245,posterior,1.76
246,##ified,1.69
247,rec,1.06
248,d,1.28
249,patients,0.84
250,##dation,0.6
251,pot,1.9
252,deviation,1.61
253,nose,1.15
254,##eral,1.93
255,courses,1.37
256,##ani,1.22
257,mg,1.14
258,frontal,2.17
259,old,1.64
260,##usa,1.56
