,term,weight
0,old,0.78
1,##emia,1.09
2,##pha,0.82
3,grams,1.13
4,17,1.0
5,seizures,1.42
6,max,1.21
7,calculate,0.7
8,no,1.92
9,##san,1.52
10,placed,1.04
11,administered,0.81
12,lower,1.37
13,con,1.25
14,drag,1.39
15,##esis,1.53
16,##der,1.45
17,diagnosis,1.0
18,p,1.0
19,aden,0.98
20,ml,0.97
21,marriage,1.51
22,weight,1.18
23,liter,0.61
24,concentration,0.58
25,complex,0.77
26,##gl,1.14
27,distress,1.8
28,given,0.94
29,##opa,1.31
30,ag,1.23
31,##oni,1.28
32,##ne,1.1
33,##dine,2.27
34,bk,2.32
35,die,1.07
36,##dine,1.96
37,feb,1.6
38,lung,0.89
39,##cture,1.43
40,born,1.15
41,lobes,1.22
42,##bu,1.28
43,chest,1.41
44,distress,1.53
45,first,1.03
46,breathing,0.96
47,child,1.2
48,dd,1.87
49,l,1.2
50,patient,1.02
51,im,1.22
52,##mun,1.46
53,breathing,1.01
54,death,1.07
55,tuberculosis,1.67
56,hospitalized,1.04
57,lobe,1.51
58,##ut,1.49
59,ct,1.4
60,negative,1.13
61,##llary,1.4
62,##am,1.11
63,%,1.28
64,percent,1.1
65,children,0.91
66,##lin,1.07
67,left,0.99
68,complicated,1.29
69,pulmonary,1.5
70,intra,1.45
71,##ured,1.92
72,##rc,1.27
73,lung,1.24
74,##fusion,1.82
75,##ril,1.74
76,normal,1.58
77,tube,1.4
78,dragging,1.33
79,i,1.68
80,##ulin,1.86
81,died,0.83
82,19,1.58
83,limb,1.26
84,injection,0.94
85,brain,0.85
86,respiratory,1.48
87,##bit,1.87
88,distressed,0.69
89,under,0.92
90,level,0.78
91,left,1.43
92,limbs,0.97
93,##ured,1.73
94,##bu,0.99
95,##lo,0.64
96,##ga,1.03
97,ratio,0.61
98,severe,1.03
99,lung,0.98
100,cerebral,0.99
101,electro,1.04
102,##eno,1.72
103,##ulin,0.6
104,hilary,1.4
105,married,1.06
106,calculated,0.74
107,weight,0.7
108,respiratory,1.29
109,mg,0.99
110,regime,1.57
111,g,1.09
112,distress,1.45
113,cd,2.25
114,test,0.63
115,ct,1.51
116,cds,1.09
117,##z,1.13
118,equation,0.84
119,im,1.06
120,par,1.36
121,##ure,0.78
122,ph,0.79
123,##og,0.98
124,dose,1.14
125,##lins,0.89
126,##mba,0.99
127,degree,1.21
128,tb,1.57
129,pun,1.21
130,##gui,2.22
131,age,1.3
132,breathing,1.17
133,##gg,1.25
134,straight,1.69
135,no,1.95
136,##gm,2.26
137,##bar,1.26
138,birth,0.82
139,hospital,1.12
140,hospitals,0.88
141,seizure,1.28
142,/,0.86
143,total,0.94
144,severe,1.14
145,##rh,1.86
146,patients,0.78
147,##mun,1.11
148,respiratory,1.33
149,i,0.96
