,term,weight
0,##1,1.5
1,##2,1.63
2,##22,1.21
3,##4,1.27
4,##5,1.29
5,##6,2.05
6,##7,1.58
7,##able,1.24
8,##ac,1.46
9,##aco,1.44
10,##anial,1.21
11,##anza,2.14
12,##ark,1.59
13,##art,1.45
14,##ato,1.42
15,##avian,1.52
16,##az,1.37
17,##bar,1.53
18,##bb,1.27
19,##bella,1.77
20,##bid,1.34
21,##body,1.38
22,##bos,1.25
23,##bri,1.44
24,##bula,1.89
25,##bular,1.45
26,##cci,1.5
27,##cd,1.83
28,##che,1.94
29,##chia,1.17
30,##ci,1.1
31,##cia,1.42
32,##cial,1.53
33,##cision,1.26
34,##cite,2.29
35,##cona,2.17
36,##cre,1.4
37,##cta,1.68
38,##cula,1.55
39,##date,1.52
40,##den,1.34
41,##dic,2.02
42,##din,1.4
43,##dy,1.39
44,##ega,1.88
45,##ema,1.57
46,##emi,1.47
47,##ening,1.15
48,##erative,1.62
49,##ergy,1.52
50,##eth,1.55
51,##eu,1.4
52,##eur,1.64
53,##far,1.77
54,##ff,1.43
55,##fication,1.39
56,##form,1.3
57,##g,1.3
58,##gb,1.26
59,##ge,1.2
60,##gen,1.39
61,##genic,1.47
62,##gnan,1.27
63,##gra,1.37
64,##hale,1.63
65,##hee,1.47
66,##het,1.71
67,##hoff,1.79
68,##hy,1.34
69,##ic,1.3
70,##illa,1.46
71,##ine,1.09
72,##ision,1.81
73,##ith,1.36
74,##itia,1.85
75,##ito,1.37
76,##lar,1.23
77,##leen,2.12
78,##ler,1.69
79,##lia,1.48
80,##llation,1.18
81,##lu,1.42
82,##lum,1.36
83,##lus,1.25
84,##lvis,1.32
85,##maker,1.46
86,##mia,1.46
87,##mity,1.47
88,##ncy,1.21
89,##nea,1.32
90,##nous,1.33
91,##oat,1.82
92,##ocation,0.98
93,##ode,1.31
94,##odes,1.22
95,##olate,1.5
96,##omy,1.17
97,##ond,1.37
98,##ora,1.59
99,##oro,1.56
100,##osi,1.27
101,##osition,1.81
102,##oto,1.19
103,##pati,1.25
104,##pha,1.18
105,##phine,1.83
106,##pine,1.47
107,##piration,1.87
108,##pire,0.72
109,##pit,1.76
110,##plication,1.01
111,##pr,1.34
112,##psy,1.3
113,##pta,1.89
114,##quel,1.84
115,##raf,1.14
116,##rag,1.22
117,##rem,1.37
118,##ren,1.33
119,##ress,1.43
120,##rial,1.1
121,##ric,1.33
122,##ril,1.37
123,##roi,1.67
124,##rol,1.4
125,##rom,1.3
126,##ros,1.26
127,##rre,1.31
128,##rro,1.56
129,##ryn,1.51
130,##scopic,1.42
131,##se,1.26
132,##si,1.1
133,##sl,1.01
134,##st,1.4
135,##static,2.02
136,##sul,1.27
137,##sure,1.43
138,##tal,1.33
139,##tat,1.31
140,##ten,1.38
141,##tern,1.74
142,##tine,1.49
143,##tive,1.5
144,##tosis,1.56
145,##tou,1.64
146,##tre,1.49
147,##tub,1.73
148,##tum,1.82
149,##tus,1.39
150,##u,1.11
151,##uating,1.57
152,##uation,1.28
153,##uba,2.33
154,##ulsion,1.99
155,##um,1.38
156,##uma,1.61
157,##ume,1.27
158,##up,0.83
159,##usa,1.46
160,##usion,1.34
161,##vas,1.31
162,##vent,1.14
163,##vert,1.36
164,##vo,1.38
165,##yp,1.64
166,##yst,1.15
167,##ytic,1.91
168,140,1.27
169,24,1.44
170,4,1.33
171,6,1.17
172,61,1.34
173,7,1.22
174,9,1.35
175,97,1.45
176,98,1.35
177,abd,1.98
178,ace,1.4
179,acute,1.34
180,administration,1.2
181,admission,1.91
182,admitted,1.19
183,ag,1.62
184,agitated,1.74
185,agitation,1.94
186,ai,1.35
187,air,1.96
188,allergic,1.27
189,anterior,1.77
190,artery,1.16
191,as,1.38
192,asa,1.59
193,associated,1.25
194,ate,1.4
195,atrium,1.56
196,attended,1.16
197,av,1.42
198,awake,1.25
199,ax,1.78
200,balcony,1.76
201,balloon,1.92
202,balloons,1.42
203,bari,2.2
204,basil,2.2
205,bilateral,2.41
206,bio,1.18
207,bis,1.59
208,blood,1.32
209,bo,1.61
210,bp,1.34
211,bra,1.14
212,breathing,0.73
213,c,2.0
214,c1,2.01
215,cab,1.95
216,cal,1.04
217,calcium,1.47
218,calm,1.23
219,canal,1.52
220,capsule,2.15
221,capt,1.73
222,care,1.24
223,cat,1.47
224,cavity,1.3
225,cervical,1.76
226,ch,1.47
227,chest,1.64
228,chief,1.38
229,chronic,1.49
230,cis,1.65
231,ck,1.36
232,clear,1.36
233,cm,1.29
234,cognition,1.24
235,collar,1.45
236,complaint,1.61
237,complaints,1.16
238,compromise,1.28
239,concurrently,1.55
240,considerations,1.38
241,consistency,2.1
242,consistent,1.18
243,consult,1.85
244,contrast,1.77
245,contributor,1.61
246,controlled,1.44
247,cooperative,1.47
248,corona,1.43
249,correlation,1.66
250,cp,1.29
251,ct,2.18
252,cv,1.47
253,cy,1.83
254,daily,1.43
255,deco,1.54
256,decreased,1.15
257,dedicated,1.35
258,deep,1.54
259,dense,1.69
260,depressed,1.3
261,depression,1.24
262,diagnosis,1.4
263,diameter,1.37
264,disc,1.2
265,discharge,2.0
266,discharged,1.83
267,discontinued,1.77
268,dish,1.96
269,disposition,1.92
270,dissolve,1.38
271,distal,1.44
272,doctor,0.53
273,documented,1.14
274,dose,1.14
275,dried,1.36
276,drink,0.91
277,drinking,0.78
278,drug,1.08
279,drugs,0.53
280,dry,1.33
281,eat,0.64
282,eating,0.6
283,ed,1.5
284,elements,1.51
285,elevation,1.43
286,emerge,2.0
287,enlarged,1.47
288,evaluation,1.5
289,evolution,1.6
290,extend,1.14
291,extended,1.88
292,extra,1.71
293,face,1.43
294,facilities,1.22
295,facility,1.47
296,fall,1.24
297,fat,1.64
298,fate,1.31
299,fi,1.22
300,fis,1.62
301,flu,1.39
302,fluid,1.54
303,focal,1.79
304,focus,1.5
305,foley,2.47
306,follow,1.59
307,following,0.63
308,for,0.79
309,foreign,1.67
310,formation,1.19
311,fracture,1.7
312,fractures,1.23
313,free,1.75
314,frontal,1.73
315,fur,1.35
316,fusion,1.64
317,gall,1.61
318,glen,1.38
319,globe,1.89
320,gross,1.63
321,had,1.0
322,hc,1.36
323,he,1.09
324,head,1.5
325,height,1.29
326,hem,1.18
327,hemisphere,1.73
328,himself,1.1
329,hip,1.89
330,his,1.19
331,historical,0.54
332,history,1.48
333,horn,1.78
334,horns,1.77
335,hospice,2.39
336,hr,1.02
337,hyper,1.42
338,imaging,1.14
339,impression,1.83
340,inferior,1.12
341,inflated,1.61
342,initiation,1.39
343,instructions,0.9
344,instrumentation,1.29
345,int,1.18
346,intact,1.59
347,interval,1.22
348,intra,1.3
349,invasive,1.72
350,irregular,1.41
351,iv,1.37
352,lam,1.63
353,lateral,1.65
354,layer,1.28
355,lead,1.51
356,left,1.67
357,les,1.72
358,ligament,1.5
359,likely,1.31
360,linear,1.5
361,liver,1.66
362,lobe,1.62
363,long,1.01
364,longitudinal,1.86
365,loops,1.21
366,luce,2.25
367,major,1.55
368,mali,1.13
369,margin,1.3
370,mast,1.48
371,matter,1.44
372,maxi,1.59
373,mc,1.3
374,mechanical,1.94
375,medication,1.21
376,mg,1.77
377,mild,2.04
378,minor,1.35
379,mm,1.17
380,moderate,1.44
381,mor,1.88
382,mr,1.97
383,mri,1.56
384,nad,1.99
385,nasal,1.7
386,need,0.5
387,needed,0.81
388,ng,1.98
389,node,1.2
390,non,1.38
391,normal,1.46
392,nose,1.24
393,nt,1.39
394,nutrition,1.02
395,obe,1.31
396,ol,1.62
397,op,1.27
398,oral,1.25
399,orbit,1.55
400,oro,1.57
401,os,1.39
402,pace,1.79
403,pain,1.2
404,painful,0.95
405,pal,1.57
406,pan,1.34
407,parana,1.85
408,partially,1.13
409,past,1.19
410,path,1.34
411,patient,1.02
412,patients,0.87
413,pe,1.29
414,peg,1.75
415,persistent,1.14
416,ph,1.2
417,phase,1.31
418,physical,1.21
419,physician,0.7
420,pill,1.0
421,pills,1.45
422,pleasant,1.35
423,please,1.08
424,pneumonia,1.5
425,po,1.01
426,posterior,1.83
427,primary,1.63
428,pro,1.22
429,procedure,1.17
430,procedures,1.15
431,projected,1.12
432,propulsion,1.37
433,prostate,1.14
434,ps,1.17
435,pseudo,1.31
436,pt,1.6
437,pulmonary,1.31
438,pure,2.15
439,q,1.49
440,rapid,1.32
441,rb,1.25
442,read,1.63
443,reading,1.38
444,real,1.76
445,rec,2.03
446,recently,1.25
447,recommend,1.37
448,reconstruction,1.31
449,record,1.4
450,refusal,1.03
451,release,1.46
452,remedy,0.65
453,renal,1.5
454,rep,1.48
455,represent,1.41
456,residue,1.38
457,retention,1.49
458,right,1.96
459,ring,1.34
460,rr,1.5
461,sad,1.62
462,sao,1.74
463,scalp,1.76
464,scan,1.45
465,scene,1.4
466,secondary,1.39
467,seen,1.15
468,seminal,1.84
469,sequel,2.1
470,ser,1.2
471,sex,1.28
472,shoulder,1.27
473,si,1.76
474,sin,1.68
475,size,1.19
476,slip,1.2
477,small,1.45
478,social,1.64
479,soft,1.63
480,sp,1.32
481,speech,1.55
482,speeches,0.71
483,spine,1.6
484,stability,1.12
485,stabilize,1.59
486,stabilized,1.55
487,stable,1.44
488,staple,1.25
489,staples,1.43
490,stomach,1.34
491,stool,2.31
492,straight,1.29
493,strand,1.52
494,stroke,1.16
495,structures,1.23
496,su,1.32
497,sul,1.69
498,surgery,1.24
499,surgical,1.2
500,suspicious,1.39
501,swallow,1.63
502,swallowed,0.54
503,swallowing,1.26
504,t,1.55
505,tall,1.17
506,tender,1.84
507,terminating,1.24
508,th,1.17
509,thin,1.54
510,thor,1.26
511,trace,1.25
512,tracking,1.39
513,transfer,1.01
514,transit,1.94
515,transverse,1.85
516,trauma,1.37
517,treatment,0.7
518,ts,1.73
519,tube,1.13
520,ultra,1.53
521,ultrasound,1.95
522,unchanged,1.83
523,unstable,1.81
524,upper,1.38
525,ur,1.33
526,use,0.95
527,valle,1.59
528,vein,1.24
529,vent,1.64
530,video,1.94
531,videos,1.21
532,vital,1.26
533,voice,0.77
534,wb,1.33
535,wet,1.82
536,white,1.42
537,windows,1.34
538,wish,0.73
539,wishing,0.55
540,yesterday,1.33
