,term,weight
12,##vita,2.05
21,ct,2.02
16,apex,1.88
2,##end,1.85
8,##patient,1.82
15,admission,1.82
25,head,1.77
4,##far,1.77
23,discharge,1.77
29,left,1.76
3,##eur,1.68
9,##quist,1.68
39,repeat,1.64
6,##logic,1.64
18,chest,1.64
38,radio,1.61
0,##10,1.61
35,moderate,1.6
7,##oro,1.55
49,tuberculosis,1.54
30,les,1.54
41,sac,1.53
48,tb,1.45
27,infectious,1.42
20,consistent,1.41
36,os,1.4
45,studies,1.36
5,##ff,1.36
31,lesions,1.36
33,lung,1.36
1,##anial,1.36
24,discharged,1.34
14,add,1.3
47,t,1.27
13,abdominal,1.27
40,repeating,1.26
22,dates,1.23
42,secondary,1.22
19,confirmed,1.2
17,ca,1.2
11,##usion,1.19
43,service,1.19
10,##rum,1.19
44,stomach,1.16
26,hem,1.16
46,study,1.13
37,pl,1.12
28,intra,1.09
34,lungs,1.07
32,likely,1.04
