,term,weight
0,structured,1.73
1,un,1.62
2,introduce,0.86
3,languages,0.89
4,identify,1.21
5,depend,0.94
6,ac,2.25
7,quality,1.42
8,thinking,0.47
9,information,1.19
10,##st,0.99
11,##set,1.25
12,data,1.14
13,records,1.24
14,excellent,0.46
15,ir,2.39
16,data,0.75
17,longitudinal,2.25
18,challenge,1.28
19,evaluation,0.79
20,efficiency,1.16
21,intensive,1.52
22,organizations,1.05
23,high,1.05
24,record,1.31
25,results,0.84
26,patient,1.32
27,organization,0.82
28,findings,0.98
29,quantitative,0.51
30,current,1.02
31,effective,1.32
32,challenges,1.49
33,across,1.01
34,framework,1.13
35,electronic,1.67
36,##r,1.7
37,clinical,0.42
38,em,2.38
39,ll,2.3
40,commercial,1.16
41,clinical,1.13
42,eligibility,1.25
43,patients,0.92
44,retrieve,1.43
45,##ructured,2.42
46,judgment,0.34
47,required,0.77
48,system,1.03
49,lab,0.38
50,cost,0.87
51,techniques,0.89
52,co,1.69
53,specific,0.98
54,logic,0.84
55,ne,0.98
56,automatic,2.1
57,necessary,1.05
58,quality,0.9
59,##rs,1.17
60,query,0.9
61,domain,1.25
62,evaluate,0.8
63,retrieval,2.04
64,assessment,0.54
65,models,0.97
66,automatic,1.03
67,decision,0.42
68,trials,1.05
69,fundamental,1.37
70,co,1.51
71,bench,1.64
72,logical,0.53
73,healthcare,0.35
74,important,0.32
75,##hort,2.58
76,symbol,0.75
77,longitudinal,2.02
78,identification,0.86
79,clinic,0.61
80,paper,0.94
81,revolution,1.18
82,databases,1.24
83,##ries,1.13
84,symbolic,1.01
85,software,0.86
86,retrieval,2.09
87,rely,1.29
88,reason,0.55
89,task,1.33
90,cp,0.33
91,instrument,0.52
92,labor,1.15
93,automated,0.93
94,##hort,2.56
95,real,0.96
96,ll,2.07
97,manual,1.56
98,recruitment,1.35
99,necessity,1.33
100,##uro,1.58
101,medical,1.49
102,results,0.52
103,able,0.7
104,patient,1.24
105,retrospective,2.0
106,under,0.84
107,major,0.81
108,##r,1.79
109,med,0.91
110,##sco,1.75
111,reliable,0.42
112,medical,0.67
113,approach,0.79
114,healthcare,1.37
115,tasks,1.23
116,reasoning,1.67
117,advancement,0.95
118,need,0.57
119,e,0.75
120,rational,0.41
121,cu,1.47
122,promising,0.87
123,retrieve,1.35
124,efficient,1.52
125,##bility,0.49
126,monitoring,0.4
127,research,0.4
128,task,0.89
129,trial,1.29
130,##m,1.13
131,##mark,1.17
132,ac,2.44
133,systems,1.07
134,medical,1.12
135,consuming,0.85
136,tasks,1.04
137,methods,1.13
138,##ructured,0.87
139,patients,0.89
140,database,0.96
141,highest,0.49
142,extensive,0.41
143,nature,0.87
144,recruit,0.99
145,criteria,1.1
146,que,1.7
147,##ration,1.33
148,capable,1.49
