,term,weight
0,similarity,0.95
1,relations,1.07
2,language,1.09
3,contrast,2.41
4,similar,0.65
5,##marks,0.62
6,core,0.42
7,##form,0.91
8,systems,0.72
9,machines,0.87
10,double,0.64
11,evaluate,1.57
12,##ive,1.47
13,trainer,0.72
14,similarities,0.96
15,embedded,0.52
16,assess,0.84
17,features,0.48
18,learn,0.82
19,relationships,0.57
20,certification,0.4
21,contrast,2.21
22,curve,0.68
23,normal,1.65
24,calculated,0.78
25,vector,1.41
26,medical,0.75
27,##ization,1.01
28,similar,0.45
29,accuracy,0.56
30,learning,1.48
31,languages,1.15
32,classification,1.07
33,system,0.89
34,various,0.39
35,##ject,1.34
36,##bau,0.74
37,specialist,0.51
38,graphs,1.42
39,ki,0.44
40,term,0.8
41,machine,1.31
42,medical,1.2
43,##per,1.42
44,intended,0.52
45,relationship,0.89
46,unified,2.17
47,em,0.67
48,terms,0.4
49,better,0.66
50,knowledge,1.58
51,bio,0.6
52,code,1.81
53,med,0.96
54,shot,1.7
55,vectors,0.87
56,out,1.24
57,close,0.48
58,lifting,0.41
59,knowledge,1.32
60,##ive,1.5
61,computer,0.44
62,relationship,0.87
63,concept,0.76
64,##r,1.24
65,cp,0.43
66,represent,0.76
67,semantic,1.6
68,relation,0.68
69,rep,1.75
70,##sen,1.69
71,analyze,0.71
72,injection,0.69
73,code,1.87
74,##ren,1.6
75,##ization,0.98
76,em,1.04
77,codes,1.01
78,named,0.64
79,graphs,1.05
80,learn,0.92
81,train,1.36
82,context,1.37
83,shooting,1.08
84,relation,0.74
85,evaluation,0.87
86,##ized,0.81
87,##r,1.3
88,word,0.8
89,editor,0.41
90,terminology,0.43
91,injected,0.78
92,kg,2.84
93,biological,0.65
94,normal,1.99
95,cross,2.02
96,##ual,1.05
97,semantics,0.97
98,training,0.45
99,concepts,0.53
100,skill,0.39
101,proposed,0.97
102,classified,0.69
103,representation,0.78
104,##ding,0.88
105,##mark,1.03
106,##ding,1.27
107,supporting,0.72
108,representations,0.44
109,words,0.67
110,concepts,0.52
111,code,2.38
112,##bed,1.66
113,graph,1.85
114,training,1.41
115,##r,1.77
116,triple,1.5
117,terms,0.66
118,##ized,0.86
119,coding,0.55
120,##tation,1.9
121,learning,1.56
122,zero,2.2
123,##ual,0.81
124,crossed,0.39
125,similarities,0.84
126,terms,0.48
127,proposal,0.74
128,coding,0.62
129,paper,0.55
130,term,0.95
131,graph,1.4
132,medical,1.62
133,codes,0.65
134,technology,0.7
135,designed,0.91
136,software,0.71
137,lexi,0.55
138,ling,1.78
139,relations,1.75
140,pearson,0.5
141,bench,2.04
142,med,0.54
143,support,0.98
144,##bed,1.88
145,propose,0.96
146,codes,0.72
147,biomedical,1.2
148,similarity,1.51
149,unity,1.3
