,term,weight
0,##mark,0.76
1,simultaneously,0.68
2,##mp,0.72
3,advanced,0.94
4,evaluate,1.41
5,footprint,1.47
6,den,1.48
7,outside,0.89
8,retrieval,0.98
9,##ries,1.05
10,remaining,0.97
11,languages,1.02
12,##oise,2.08
13,simulation,0.41
14,late,2.23
15,effective,1.41
16,tasks,1.17
17,significantly,0.89
18,colbert,3.1
19,brain,1.37
20,compression,2.0
21,robot,0.69
22,##int,0.74
23,ne,0.68
24,evaluation,0.78
25,art,0.48
26,simulations,0.43
27,sensor,0.42
28,scala,1.19
29,evaluated,0.39
30,vector,1.41
31,language,0.75
32,deco,1.16
33,fda,0.48
34,established,0.44
35,##ular,1.11
36,##ate,0.66
37,footprints,1.61
38,##code,0.91
39,methods,1.0
40,model,0.71
41,late,1.89
42,experiment,0.63
43,interact,0.35
44,participant,0.39
45,ir,3.08
46,inflation,1.1
47,analyze,0.67
48,interactions,1.45
49,relevance,1.27
50,retrieve,1.51
51,quality,0.91
52,query,0.66
53,training,1.48
54,##v,1.35
55,##marks,0.49
56,software,0.64
57,watch,0.38
58,bench,1.58
59,2,0.96
60,representation,0.92
61,vectors,0.79
62,strategy,0.81
63,models,1.03
64,greatly,1.34
65,knowledge,1.15
66,interaction,1.46
67,wide,0.62
68,state,0.54
69,improve,1.08
70,search,1.31
71,train,0.99
72,##v,1.58
73,supervision,1.83
74,strategies,0.93
75,documents,0.98
76,introduce,0.7
77,retrieval,2.12
78,trainer,0.83
79,prototype,0.36
80,reduction,0.79
81,ibm,0.36
82,reduce,1.07
83,neural,2.26
84,mechanism,0.9
85,interactions,1.28
86,models,1.09
87,##ens,1.11
88,effectiveness,0.82
89,learning,0.37
90,2,0.76
91,dog,0.91
92,residual,2.0
93,gran,1.23
94,late,2.06
95,encoded,0.8
96,decay,1.08
97,##ive,0.99
98,single,1.22
99,##2,1.78
100,##r,1.04
101,domains,0.69
102,retrieve,2.18
103,en,1.11
104,compressed,1.11
105,space,1.79
106,space,1.29
107,magnitude,1.19
108,que,1.41
109,token,1.56
110,supervisor,1.19
111,handler,0.73
112,interaction,1.49
113,robot,0.76
114,technology,0.73
115,information,1.83
116,interactions,1.33
117,mechanisms,0.96
118,infrared,1.12
119,##fl,1.73
120,techniques,0.81
121,couples,0.98
122,fetch,1.11
123,deco,0.93
124,computation,0.75
125,task,0.81
126,multi,1.23
127,pile,0.79
128,searching,1.02
129,model,0.86
130,model,1.0
131,models,1.12
132,##2,1.58
133,footprint,1.75
134,interaction,1.55
135,aggression,0.78
136,assess,0.71
137,##1,0.37
138,across,0.92
139,footprints,1.33
140,inflated,0.74
141,representations,0.74
142,quality,1.44
143,domain,1.15
144,supervise,0.67
145,reduced,0.43
146,decomposition,2.05
147,aggressive,1.61
148,project,0.35
149,colbert,3.12
