,term,weight
0,model,1.47
1,vectors,1.15
2,precise,0.92
3,alternative,1.39
4,simple,0.97
5,inability,1.11
6,alternatives,0.84
7,vector,1.68
8,frequent,1.51
9,canada,1.77
10,improve,0.73
11,airline,0.93
12,example,1.01
13,bad,0.85
14,learning,1.22
15,order,1.24
16,learn,0.87
17,word,1.06
18,regular,0.97
19,relationships,1.0
20,models,1.27
21,-,0.68
22,examples,0.94
23,extensions,1.06
24,represent,1.14
25,##iom,1.09
26,semantics,0.91
27,inherent,2.14
28,phrases,1.15
29,easily,1.22
30,efficient,1.31
31,indifference,1.89
32,distribution,1.23
33,grams,1.22
34,cannot,0.83
35,motivated,0.71
36,limitations,1.27
37,limited,1.26
38,indifferent,1.14
39,quality,1.21
40,combined,0.82
41,id,0.94
42,combination,0.72
43,train,0.66
44,canadian,1.23
45,representation,1.7
46,negative,2.01
47,sampling,1.97
48,natural,0.81
49,technique,0.66
50,representation,1.19
51,hierarchy,1.25
52,semantic,1.49
53,continuous,1.89
54,unable,1.1
55,limitation,1.77
56,recently,0.92
57,words,0.85
58,learning,0.86
59,##ctic,1.33
60,##pling,1.35
61,discrete,0.93
62,words,0.84
63,soft,2.04
64,methods,0.94
65,limit,1.07
66,captured,0.98
67,word,1.4
68,air,1.84
69,lack,0.82
70,fast,0.66
71,vector,1.71
72,speed,1.05
73,tensor,0.62
74,efficiency,1.03
75,meaning,0.82
76,gram,2.41
77,representations,1.29
78,extension,0.61
79,sample,1.59
80,introduced,1.02
81,techniques,0.77
82,max,0.76
83,##atic,1.12
84,ordered,0.92
85,vectors,0.98
86,##g,0.61
87,text,0.85
88,hierarchical,1.61
89,representations,0.93
90,syn,1.47
91,capture,1.24
92,introduce,0.8
93,##max,2.49
94,training,1.13
95,##ta,0.93
96,skipping,1.68
97,distributed,1.71
98,skip,2.55
99,##sam,1.21
