,term,weight
0,bert,2.89
1,hubert,0.4
2,file,0.59
3,parameters,1.15
4,content,1.27
5,di,1.11
6,small,0.95
7,fewer,0.67
8,classification,1.75
9,base,0.78
10,structures,0.94
11,improve,0.48
12,class,0.68
13,typical,0.69
14,paper,0.66
15,length,0.7
16,par,1.68
17,##ction,1.12
18,label,1.05
19,reach,0.5
20,contributed,0.74
21,l,1.31
22,straightforward,0.75
23,classified,1.21
24,model,1.32
25,papers,0.45
26,##sti,1.85
27,labels,1.22
28,##frame,0.58
29,##m,0.7
30,ibm,0.5
31,not,0.56
32,use,0.57
33,lengths,0.61
34,algorithm,0.61
35,##set,1.47
36,using,0.61
37,computational,1.79
38,##ire,1.44
39,##st,1.6
40,##set,1.46
41,##lar,1.53
42,expense,1.78
43,syn,1.56
44,useful,0.63
45,inference,2.14
46,structure,0.63
47,expenses,1.06
48,address,1.23
49,improved,0.4
50,characteristic,0.74
51,associated,1.44
52,documents,1.27
53,##ta,0.98
54,cost,0.82
55,computation,0.79
56,contributions,0.46
57,software,0.51
58,input,1.1
59,data,0.99
60,bid,1.48
61,foundation,0.92
62,longer,0.82
63,##ctic,1.57
64,task,0.74
65,##ge,0.86
66,##base,1.42
67,contribution,1.34
68,primary,0.81
69,##ity,0.82
70,##ms,0.43
71,knowledge,1.09
72,classify,0.67
73,fuzzy,0.79
74,nelson,0.56
75,matter,1.35
76,tasks,0.64
77,contents,0.83
78,characteristics,1.23
79,contribute,0.67
80,baseline,1.78
81,categories,0.79
82,bert,3.1
83,albert,0.62
84,first,0.69
85,traits,0.65
86,document,1.52
87,ibm,0.66
88,data,1.04
89,multiple,1.14
90,hawkins,0.55
91,most,0.89
92,multiple,1.13
93,application,0.88
94,models,1.2
95,appropriate,1.44
96,merlin,0.75
97,##frame,0.6
98,kurt,0.46
99,overhead,0.4
