,term,weight
0,document,1.38
1,than,0.54
2,text,0.47
3,analysis,1.38
4,new,0.65
5,provide,0.68
6,suggest,0.52
7,proposal,0.87
8,cluster,2.4
9,details,0.43
10,words,1.0
11,##d,0.83
12,fuzzy,0.5
13,proposed,1.2
14,inverse,1.84
15,java,0.6
16,better,0.85
17,represent,0.72
18,between,1.1
19,weight,0.73
20,sql,0.33
21,results,1.05
22,##ization,0.69
23,some,0.67
24,analyze,1.06
25,qualities,0.46
26,math,0.39
27,documents,1.06
28,proposing,0.54
29,techniques,1.02
30,frequencies,1.3
31,types,0.57
32,can,0.53
33,four,0.51
34,techniques,0.7
35,similarity,1.36
36,papers,0.45
37,relational,2.25
38,examples,0.44
39,best,0.4
40,frequency,1.7
41,relations,1.48
42,##ities,0.4
43,reading,0.56
44,subjects,0.56
45,yes,0.73
46,characteristic,0.9
47,##ized,1.2
48,studied,0.48
49,transform,0.35
50,more,0.83
51,based,1.3
52,likely,0.67
53,tie,1.85
54,##ized,1.18
55,characteristics,1.53
56,information,1.09
57,research,0.42
58,merge,0.4
59,##uation,0.33
60,suggest,0.74
61,frequencies,1.14
62,eric,0.4
63,information,1.32
64,center,0.64
65,equivalent,0.49
66,obtained,0.72
67,study,1.01
68,studies,0.71
69,##base,1.83
70,relational,2.59
71,method,0.88
72,type,0.68
73,text,0.41
74,relational,2.1
75,comparable,1.31
76,others,0.58
77,accuracy,0.53
78,##bility,0.56
79,lexi,0.37
80,frequency,1.8
81,documents,1.29
82,traits,0.93
83,document,1.06
84,traits,0.68
85,fuzzy,0.44
86,methodology,0.34
87,using,0.56
88,reverse,0.97
89,##ity,1.5
90,methods,1.12
91,method,0.77
92,tied,0.99
93,##frame,0.67
94,words,0.86
95,measure,0.95
96,result,0.82
97,frequencies,1.0
98,##ization,1.18
99,##ize,0.82
100,large,0.63
101,characteristics,1.12
102,vectors,1.46
103,difference,0.47
104,words,0.84
105,reliable,0.5
106,obtained,0.57
107,data,1.2
108,propose,1.47
109,characteristics,1.36
110,documents,1.15
111,other,1.05
112,experiment,0.57
113,unique,1.45
114,methods,1.49
115,##sin,2.17
116,experiment,1.01
117,two,0.73
118,measures,0.83
119,relationship,0.64
120,accuracy,1.17
121,used,0.58
122,term,1.17
123,proposed,1.25
124,similarities,1.31
125,methods,0.92
126,proposal,0.9
127,proposing,0.36
128,weighted,0.58
129,obtain,0.68
130,words,1.27
131,mainly,0.61
132,information,1.04
133,use,0.53
134,vector,2.17
135,random,0.47
136,experimental,0.48
137,use,0.77
138,results,1.09
139,dave,0.36
140,weights,1.17
141,java,0.62
142,word,0.56
143,small,1.43
144,correlation,0.46
145,techniques,0.76
146,because,1.44
147,vector,2.4
148,types,0.37
149,frequency,1.28
150,base,0.95
151,using,0.55
152,citation,0.6
153,research,0.35
154,probable,0.41
155,literary,0.34
156,corpus,2.41
157,word,0.8
158,accurate,1.52
159,word,1.1
160,using,0.54
161,characteristic,1.02
162,result,0.65
163,document,0.55
164,documents,1.25
165,files,0.67
166,text,0.61
167,traits,0.64
168,matching,0.47
169,##set,1.63
170,times,0.93
171,vectors,1.29
172,characteristic,0.7
173,linear,0.57
174,accurate,1.5
175,generalized,1.33
176,document,1.26
177,other,0.82
178,based,1.11
179,propose,1.29
180,relationship,0.72
181,vectors,1.27
182,topics,0.72
183,terms,0.73
184,craig,0.37
185,vector,1.31
186,fuzzy,0.63
187,central,1.66
188,##izing,0.4
189,clusters,1.51
190,co,1.35
191,most,0.62
192,##ing,1.34
193,experiments,1.08
194,research,0.46
195,database,0.54
196,accuracy,1.15
197,similar,0.91
