,term,weight
0,assessment,0.77
1,natural,1.69
2,searching,1.33
3,enhanced,0.61
4,depth,0.74
5,systemic,1.68
6,temporal,1.47
7,##bed,1.94
8,##im,1.35
9,retrieve,1.21
10,consist,1.0
11,result,0.74
12,improved,0.71
13,greatly,0.99
14,france,1.07
15,##type,1.01
16,computational,1.22
17,detect,1.08
18,represent,0.98
19,warehouse,1.73
20,screen,1.12
21,remember,0.85
22,languages,0.94
23,documents,1.59
24,improve,1.03
25,task,0.66
26,##ian,1.11
27,78,0.77
28,patients,0.92
29,cost,0.88
30,##hort,2.26
31,algorithms,1.55
32,precision,1.99
33,ap,2.1
34,advance,1.1
35,hp,2.22
36,pathogen,0.66
37,closest,1.29
38,files,0.65
39,##f,1.46
40,methods,0.84
41,93,1.16
42,auto,0.65
43,##oli,1.23
44,clinical,0.72
45,co,0.63
46,multiple,0.66
47,number,0.89
48,language,1.19
49,papers,0.71
50,studies,0.87
51,0,0.75
52,vectors,1.26
53,##ph,0.85
54,diseases,1.52
55,forensic,0.81
56,clinic,1.41
57,vectors,1.0
58,dramatically,0.57
59,advanced,1.67
60,keys,0.84
61,many,1.2
62,practices,0.57
63,training,0.65
64,models,0.7
65,tasks,0.8
66,method,1.25
67,notes,1.33
68,retrieval,1.8
69,score,0.65
70,evaluated,0.58
71,evaluation,0.63
72,um,1.91
73,key,1.28
74,pre,1.86
75,##c,1.01
76,french,1.61
77,##su,1.01
78,improvement,0.64
79,specific,0.85
80,constitute,0.86
81,clinic,0.58
82,codes,1.0
83,tasks,0.94
84,representation,1.35
85,burden,1.45
86,domains,0.94
87,benefit,0.58
88,numbers,0.69
89,evaluate,0.91
90,search,1.67
91,second,1.04
92,##eno,1.56
93,study,1.28
94,que,1.08
95,retrieve,0.71
96,71,1.21
97,document,0.62
98,latest,1.5
99,note,0.9
100,t,1.48
101,testing,0.9
102,purpose,0.57
103,sc,1.05
104,lead,1.08
105,syndrome,1.09
106,retrieved,0.84
107,background,1.49
108,##os,0.88
109,information,1.31
110,database,0.97
111,interests,0.81
112,##oder,1.81
113,data,1.35
114,synonym,1.78
115,powerful,1.37
116,automation,0.75
117,90,1.33
118,objective,2.2
119,er,0.92
120,searched,0.58
121,files,0.71
122,synonym,2.08
123,patient,1.27
124,french,1.46
125,query,1.69
126,achieved,0.83
127,##mun,1.85
128,lia,0.65
129,good,0.93
130,four,1.3
131,evaluate,0.77
132,vector,1.61
133,diagnosis,0.71
134,automatic,1.9
135,significant,0.68
136,disease,1.03
137,recalled,1.17
138,##ythe,1.35
139,##bert,2.33
140,expand,1.25
141,code,1.26
142,domain,1.45
143,##pid,1.7
144,ic,1.66
145,total,0.83
146,clinic,0.57
147,expensive,0.54
148,types,0.77
149,precise,0.97
150,texts,0.69
151,screening,1.26
152,learn,1.12
153,question,0.93
154,notes,1.29
155,medical,1.46
156,algorithm,1.15
157,deep,2.42
158,documents,1.39
159,patients,0.99
160,extraction,0.74
161,96,0.82
162,entry,0.95
163,##ding,1.16
164,techniques,0.88
165,france,1.12
166,clinical,1.37
167,clinical,1.62
168,lu,1.49
169,recently,0.55
170,reasonable,0.86
171,patients,1.28
172,methods,0.92
173,detection,1.4
174,idf,1.94
175,expansion,1.81
176,interest,2.05
177,max,0.78
178,vector,1.95
179,anti,1.09
180,questions,1.0
181,algorithms,1.1
182,##ls,1.2
183,representation,1.29
184,note,0.86
185,goal,0.64
186,similarity,1.17
187,documents,1.12
188,test,0.57
189,information,1.03
190,extract,1.22
191,israel,1.1
192,auto,2.31
193,##aya,1.65
194,task,1.15
195,##r,1.06
196,learning,1.76
197,come,0.6
198,10,1.1
199,development,0.7
200,##ler,1.16
201,enter,0.86
202,practice,0.75
203,accuracy,1.06
204,cost,0.65
205,retrieval,0.89
206,first,0.94
207,recall,1.63
208,processing,1.41
209,useful,0.59
210,algorithm,1.51
211,databases,0.9
212,##ve,1.53
213,methods,1.34
214,##d,1.04
215,text,0.6
216,art,1.02
217,objectives,1.57
218,code,1.49
219,##pus,1.96
220,significantly,1.33
221,##2,1.17
222,computational,1.37
223,our,0.94
224,document,1.25
225,complex,0.97
226,directly,0.89
227,algorithms,0.98
228,warehouses,0.89
229,processor,0.91
230,relevant,1.44
231,represent,0.62
232,patient,0.9
233,85,0.99
234,doc,2.2
235,large,0.6
236,medical,1.03
237,japan,0.85
238,patient,0.89
239,databases,1.1
240,tak,1.76
241,representations,1.13
242,##mat,1.13
243,med,0.79
244,of,0.87
245,em,0.91
246,algorithm,0.91
247,database,1.36
248,results,1.17
