,term,weight
0,rag,2.82
1,rating,0.8
2,q,1.69
3,ph,1.18
4,generate,1.3
5,challenge,1.52
6,answers,1.11
7,retrieval,1.93
8,ham,2.28
9,rely,1.0
10,tasks,0.84
11,different,0.71
12,second,1.19
13,approach,1.84
14,mc,2.27
15,single,1.19
16,question,0.99
17,constraint,0.99
18,generation,1.51
19,yes,1.31
20,generator,0.71
21,retrieve,1.06
22,steps,1.0
23,first,0.87
24,reform,1.38
25,testing,0.76
26,languages,1.1
27,multiple,1.59
28,knowledge,1.12
29,##ifier,0.95
30,/,1.21
31,na,0.92
32,context,1.58
33,match,1.84
34,step,0.73
35,bases,0.92
36,class,1.18
37,choice,1.52
38,##q,2.08
39,challenges,1.18
40,algorithm,0.73
41,##q,1.76
42,approaches,1.07
43,test,1.04
44,models,1.25
45,202,1.29
46,binary,1.97
47,language,1.15
48,score,1.69
49,ratios,0.97
50,open,0.95
51,paper,0.83
52,wikipedia,1.19
53,##ulate,1.08
54,enhanced,1.22
55,approaches,1.04
56,augmented,1.85
57,method,0.73
58,difference,0.7
59,directly,0.81
60,##m,1.22
61,processes,0.83
62,apollo,2.35
63,answer,0.9
64,trained,0.88
65,approach,1.14
66,processing,1.04
67,matching,1.08
68,into,0.69
69,pharmacy,1.93
70,rag,3.06
71,##4,1.24
72,tackle,1.29
73,model,0.83
74,question,1.1
75,training,0.97
76,no,0.83
77,##cho,2.12
78,came,1.19
79,answering,1.0
80,questions,1.22
81,##mber,2.08
82,calculate,0.71
83,ll,2.38
84,##ming,1.81
85,def,2.39
86,exactly,0.82
87,data,1.02
88,ratio,1.6
89,generated,0.73
90,parameters,1.27
91,answer,0.98
92,strategy,0.72
93,architecture,1.38
94,mc,2.43
95,questions,1.1
96,external,1.25
97,process,0.98
98,exact,1.61
99,constraints,1.37
