,term,weight
0,documents,0.89
1,##t,0.87
2,retrieved,0.56
3,##d,1.4
4,deco,0.97
5,enhanced,0.61
6,error,0.64
7,##ts,0.73
8,experiments,0.75
9,accuracy,0.5
10,collections,0.81
11,technique,1.04
12,performance,1.04
13,techniques,0.92
14,dimensional,1.33
15,sv,2.24
16,low,1.24
17,file,0.57
18,space,1.2
19,search,0.62
20,term,1.2
21,mechanism,1.34
22,ins,1.0
23,4,0.99
24,study,0.81
25,underlying,1.16
26,structures,0.68
27,spaces,0.75
28,document,1.35
29,abbreviation,0.58
30,small,1.15
31,retrieve,1.27
32,representing,0.79
33,affect,0.92
34,fluctuations,0.73
35,methods,0.6
36,retrieval,2.06
37,ross,0.77
38,studies,0.89
39,investigate,0.84
40,use,0.94
41,simplified,1.62
42,model,0.7
43,techniques,0.97
44,variable,0.73
45,value,1.74
46,enhance,0.64
47,forensic,0.57
48,fluctuations,0.71
49,use,0.96
50,vector,1.22
51,decomposition,2.08
52,describe,0.45
53,experimental,1.39
54,pile,0.61
55,values,1.05
56,conclude,0.63
57,decay,1.28
58,##d,0.95
59,technique,0.51
60,occurrence,1.15
61,texts,0.82
62,representation,0.74
63,singular,2.16
64,architecture,1.55
65,improve,1.15
66,term,1.24
67,query,1.27
68,decay,0.96
69,retrieval,1.96
70,compression,0.57
71,experiment,1.06
72,revealed,0.59
73,reveal,0.48
74,represent,1.13
75,decomposition,2.39
76,plural,1.43
77,text,1.69
78,section,0.86
79,que,0.63
80,testing,0.85
81,improvement,0.9
82,documents,1.18
83,improvements,0.6
84,recall,0.45
85,sv,3.03
86,influence,0.77
87,models,1.08
88,occurring,0.96
89,##d,1.81
90,effect,0.6
91,##uc,1.36
92,memory,0.61
93,techniques,1.05
94,alone,0.9
95,ec,1.85
96,large,1.18
97,##ient,1.67
98,concepts,0.78
99,occurrence,1.37
100,technique,0.88
101,hoped,0.71
102,collection,1.19
103,test,0.87
104,terms,0.75
105,based,0.97
106,projects,0.64
107,algorithm,0.6
108,variability,1.62
109,results,0.57
110,proposed,1.18
111,variability,1.44
112,influenced,0.93
113,project,1.18
114,fuzzy,0.64
115,collections,1.33
116,possible,0.48
117,retrieve,1.17
118,variance,0.69
119,mechanisms,1.35
120,section,1.54
121,variation,1.12
122,retrieval,1.83
123,methods,0.51
124,correlation,0.58
125,document,0.85
126,deco,1.06
127,sim,0.87
128,sections,0.94
129,collect,0.7
130,occur,0.9
131,variation,1.36
132,memory,0.66
133,detection,0.6
134,perform,0.55
135,occurring,0.83
136,description,0.83
137,architect,1.09
138,variable,0.88
139,retrieve,1.4
140,interpret,0.86
141,concluded,0.9
142,sv,2.85
143,text,1.3
144,experiment,0.71
145,occurrences,0.5
146,dimensions,0.75
147,forensic,0.47
148,vectors,1.16
149,collection,0.84
