,term,weight
0,learn,1.07
1,algorithm,0.64
2,explicit,1.67
3,##uration,1.94
4,learning,1.35
5,ending,0.64
6,sparse,2.0
7,to,0.8
8,training,0.79
9,efficiency,1.49
10,improve,1.03
11,inversion,1.23
12,effects,0.86
13,efficient,1.19
14,##ization,0.94
15,documents,1.07
16,spa,2.05
17,first,1.21
18,representation,0.92
19,conduct,1.59
20,index,1.28
21,representations,0.66
22,approach,1.06
23,inverted,1.82
24,efficacy,0.97
25,well,0.95
26,retrieval,2.09
27,##ries,0.99
28,rank,2.09
29,representation,1.12
30,proven,1.18
31,methods,0.97
32,density,0.96
33,retrieve,2.1
34,ranking,0.94
35,desirable,1.25
36,competition,0.95
37,information,1.59
38,proved,1.12
39,neighbor,1.82
40,techniques,0.82
41,stage,1.33
42,que,1.32
43,density,1.15
44,contribution,0.69
45,sat,1.12
46,##rs,1.26
47,approximate,1.76
48,single,0.96
49,efficient,1.42
50,effective,1.03
51,end,1.09
52,trained,0.8
53,properties,1.18
54,brain,1.31
55,neural,1.97
56,##ding,1.56
57,based,0.85
58,log,1.74
59,highly,0.73
60,off,1.08
61,first,1.67
62,stages,1.07
63,em,1.26
64,results,0.93
65,of,1.13
66,sparse,2.05
67,dense,2.11
68,bag,1.92
69,research,1.22
70,effect,0.75
71,work,0.98
72,term,1.43
73,simple,0.75
74,nearest,1.58
75,##ity,1.12
76,pipeline,2.15
77,bags,1.19
78,rank,0.92
79,efficiency,1.27
80,##ized,0.82
81,words,1.26
82,effectiveness,1.3
83,neighbors,1.65
84,weights,1.17
85,##bed,2.15
86,methods,1.1
87,dense,2.22
88,competitive,1.22
89,representations,1.0
90,##er,1.43
91,neighbour,1.27
92,models,0.99
93,trade,1.34
94,art,0.7
95,closest,1.19
96,ongoing,1.33
97,weight,0.87
98,matching,1.15
99,regular,1.68
