,term,weight
0,improvement,0.74
1,gain,1.23
2,##g,0.65
3,tire,0.42
4,approximate,1.73
5,results,0.86
6,efficient,1.39
7,competition,0.97
8,sp,2.03
9,conduct,1.56
10,di,0.72
11,##llation,1.47
12,of,1.07
13,work,0.93
14,gains,1.13
15,price,0.52
16,dense,2.13
17,score,0.89
18,19,0.42
19,documents,0.95
20,percent,0.49
21,sparse,1.93
22,ir,2.97
23,##ries,1.03
24,expand,0.69
25,improved,0.7
26,mechanism,1.1
27,pipeline,2.12
28,efficiency,1.24
29,##ing,0.82
30,highly,0.94
31,compete,0.67
32,words,1.23
33,##e,1.22
34,sparse,2.05
35,first,1.57
36,matching,1.19
37,overall,1.33
38,##sti,1.63
39,documents,1.08
40,result,0.56
41,improvement,0.62
42,tre,2.13
43,improve,0.96
44,##r,0.55
45,expansion,1.09
46,research,1.21
47,growth,0.53
48,performance,0.45
49,@,0.42
50,retrieval,2.13
51,learn,1.02
52,manufacturer,0.4
53,##dc,2.04
54,infrared,1.36
55,proved,1.09
56,introduce,1.02
57,neighbor,1.79
58,##bed,2.12
59,##mark,1.25
60,methods,0.92
61,dl,1.86
62,neighbors,1.6
63,proven,1.21
64,que,1.3
65,competitive,1.18
66,inverted,1.9
67,introduced,1.29
68,representation,1.05
69,training,0.66
70,models,0.96
71,2019,1.57
72,inversion,1.28
73,%,0.98
74,information,1.7
75,significantly,0.66
76,##c,0.89
77,significant,0.95
78,nearest,1.56
79,trained,0.7
80,proposed,0.93
81,champion,0.53
82,card,0.42
83,bag,1.96
84,bench,1.8
85,proposal,0.63
86,##mark,0.93
87,effectiveness,1.05
88,modified,0.73
89,approaches,0.59
90,rate,0.37
91,dense,1.84
92,bags,1.17
93,efficient,0.92
94,retrieve,2.04
95,properties,1.07
96,bei,2.42
97,bai,0.97
98,benefit,0.34
99,representation,1.1
100,density,0.95
101,##lad,2.59
102,bench,1.44
103,investment,0.41
104,ongoing,1.28
105,index,1.32
106,efficacy,0.77
107,document,0.88
108,representations,1.0
109,comet,0.37
110,desirable,1.24
111,pools,1.12
112,mining,0.48
113,neighbour,1.27
114,recently,0.9
115,approach,0.78
116,propose,0.99
117,effective,0.91
118,learning,1.31
119,brand,0.49
120,better,0.34
121,rank,0.94
122,poole,1.13
123,n,1.39
124,company,0.53
125,rating,0.58
126,mechanisms,1.17
127,stock,0.96
128,model,1.5
129,results,0.81
130,ranking,0.99
131,improve,1.0
132,good,0.52
133,##lad,2.56
134,brain,1.32
135,pool,1.89
136,em,1.21
137,bei,2.46
138,excellent,0.4
139,neural,1.98
140,greatly,0.35
141,models,1.18
142,increase,0.66
143,10,0.56
144,efficiency,1.19
145,improvements,0.95
146,sp,2.38
147,representations,0.73
148,closest,1.17
149,##ding,1.56
