,term,weight
0,pre,1.44
1,retrieval,2.02
2,semantics,0.83
3,##m,1.19
4,languages,0.97
5,algorithm,0.64
6,heavily,0.61
7,representation,1.44
8,activation,1.54
9,weight,1.08
10,space,1.31
11,first,0.95
12,models,1.0
13,evaluation,0.8
14,level,0.92
15,proposal,0.87
16,##mar,2.02
17,significantly,1.44
18,evaluated,1.05
19,representation,1.27
20,model,0.9
21,predicted,1.25
22,text,1.51
23,novels,0.83
24,language,0.93
25,stages,0.92
26,##rs,0.99
27,advantage,1.15
28,directly,0.75
29,##rter,2.67
30,novel,1.86
31,database,0.5
32,slightly,0.35
33,achieved,0.33
34,represent,0.72
35,problem,0.91
36,control,1.06
37,##ability,1.0
38,methods,1.0
39,applications,0.95
40,controllers,0.97
41,full,1.2
42,expansion,0.94
43,propose,1.21
44,ranking,0.34
45,modules,1.31
46,predict,1.89
47,dense,1.3
48,sparse,1.99
49,##co,1.28
50,sparse,2.22
51,expand,0.75
52,data,1.18
53,greatly,0.95
54,rank,0.61
55,perform,0.39
56,achieve,0.32
57,texts,0.83
58,out,1.24
59,efficiency,1.29
60,models,0.97
61,software,0.63
62,industrial,1.78
63,dense,1.53
64,semantic,1.36
65,bags,1.2
66,bows,1.5
67,spa,2.28
68,##m,1.2
69,final,0.97
70,software,0.7
71,train,0.98
72,term,1.74
73,pl,1.83
74,text,1.45
75,exact,1.01
76,pl,2.22
77,match,1.21
78,cooperative,1.66
79,trained,1.59
80,performance,0.99
81,bag,1.95
82,dense,1.17
83,##m,1.52
84,model,0.82
85,techniques,0.76
86,ranked,0.61
87,significant,0.6
88,representations,1.02
89,based,0.75
90,dominate,0.8
91,##frame,0.33
92,training,1.36
93,##per,1.4
94,based,1.55
95,efficient,0.91
96,controller,1.42
97,vocabulary,1.39
98,un,0.69
99,forest,0.37
100,capacity,1.16
101,term,0.9
102,##or,0.94
103,texts,0.86
104,interpretation,0.8
105,java,0.68
106,learning,1.07
107,retrieve,1.36
108,mining,0.48
109,improve,0.8
110,graph,0.54
111,terms,0.91
112,flexibility,0.9
113,importance,1.59
114,traditional,1.36
115,##form,0.62
116,sparse,2.39
117,ga,1.76
118,activate,1.28
119,##weig,0.43
120,represent,0.87
121,representations,0.93
122,matching,1.6
123,of,0.89
124,stage,1.14
125,ms,1.6
126,master,0.45
127,tradition,0.41
128,bow,2.26
129,##rter,2.81
130,evaluate,1.02
131,filter,0.33
132,lexi,0.63
133,##ting,1.43
134,algorithms,0.55
135,biggest,0.46
136,learn,1.16
137,interpret,1.25
138,words,0.81
139,proposed,1.4
140,layer,0.36
141,fuzzy,0.86
142,spa,2.46
143,##set,1.52
144,module,1.22
145,size,0.38
146,flexible,0.65
147,framework,2.31
148,consist,0.63
149,spaces,0.71
