,term,weight
0,um,2.73
1,cds,0.88
2,##thes,1.69
3,##bi,1.66
4,ana,1.33
5,signed,0.86
6,knowledge,1.3
7,variants,0.96
8,document,0.67
9,l,1.19
10,compilation,0.77
11,resources,0.49
12,base,1.17
13,##ks,1.4
14,relations,0.74
15,integration,1.09
16,##aurus,1.87
17,biomedical,1.26
18,un,2.49
19,related,1.09
20,med,1.21
21,##bank,1.33
22,agreement,1.06
23,sign,1.03
24,##p,0.97
25,research,1.13
26,symbolic,1.22
27,##ca,1.1
28,##m,1.24
29,##ls,1.65
30,gov,1.36
31,taxonomy,1.5
32,users,0.96
33,agreements,0.81
34,purpose,0.91
35,universities,0.78
36,knowledge,1.67
37,integration,0.75
38,##ls,1.89
39,##®,0.61
40,symbol,1.16
41,integrated,1.37
42,updated,1.44
43,available,0.97
44,bio,0.69
45,ni,1.67
46,concepts,1.06
47,institution,1.02
48,registration,0.5
49,concept,1.08
50,ft,1.32
51,um,2.75
52,nc,1.82
53,website,0.61
54,heading,1.54
55,##ed,1.55
56,distributed,1.31
57,concepts,1.3
58,##l,1.21
59,library,1.24
60,bank,1.15
61,##ma,1.15
62,fees,0.81
63,https,0.69
64,sources,1.28
65,gen,0.98
66,source,1.26
67,archives,0.64
68,fee,1.07
69,mesh,2.12
70,purposes,0.64
71,gene,0.94
72,##im,1.52
73,system,1.32
74,invented,0.65
75,every,0.99
76,meta,2.09
77,librarian,0.85
78,families,0.66
79,##bula,0.91
80,update,1.16
81,information,0.88
82,availability,0.71
83,user,0.69
84,fort,0.56
85,many,0.96
86,is,0.62
87,##bular,1.76
88,##bula,0.65
89,systems,0.88
90,##bular,2.24
91,http,1.58
92,university,0.82
93,##bular,2.06
94,vo,1.61
95,nl,2.16
96,institutions,1.02
97,##k,1.4
98,quarterly,1.59
99,##l,1.25
100,dinosaur,1.14
101,distribution,1.06
102,developed,1.05
103,vo,1.85
104,##tom,1.71
105,digital,1.53
106,vo,1.92
107,##ca,1.01
108,external,1.37
109,software,0.49
110,learning,0.76
111,university,0.56
112,om,1.81
113,##ys,0.96
114,technology,0.72
115,##hos,1.45
116,license,1.49
117,researcher,0.89
118,database,0.65
119,resources,1.01
120,inter,1.56
121,tools,1.11
122,national,0.76
123,##l,0.98
124,medicine,1.08
125,subject,1.14
126,required,0.93
127,onto,1.41
128,custom,1.24
129,abbreviation,0.73
130,medical,0.97
131,rom,1.18
132,repository,1.67
133,languages,1.46
134,##ca,0.93
135,##h,1.04
136,##v,1.5
137,cd,1.37
138,updates,0.62
139,medical,1.86
140,symbols,0.99
141,integrate,0.64
142,libraries,0.76
143,##i,1.49
144,##g,1.21
145,lexi,1.26
146,licensing,1.02
147,language,1.51
148,um,2.66
